tt0000005	1	nm0443482	actor	\N	["Blacksmith"]
tt0000005	2	nm0653042	actor	\N	["Assistant"]
tt0000007	1	nm0179163	actor	\N	\N
tt0000007	2	nm0183947	actor	\N	\N
tt0000008	1	nm0653028	actor	\N	["Sneezing Man"]
tt0000009	2	nm0183823	actor	\N	["Mr. Hamilton"]
tt0000009	3	nm1309758	actor	\N	["Chauncey Depew - the Director of the New York Central Railroad"]
tt0000011	1	nm3692297	actor	\N	["Acrobats"]
tt0000014	1	nm0166380	actor	\N	["The Gardener"]
tt0000014	2	nm0244989	actor	\N	["The Boy"]
tt0000017	1	nm3691272	actor	\N	["The boy"]
tt0000018	1	nm3692071	actor	\N	["The Boxer"]
tt0000026	1	nm2350007	actor	\N	["Valet"]
tt0000026	2	nm0525907	actor	\N	["Man playing cards, seated on the left"]
tt0000026	3	nm1151424	actor	\N	["Man playing cards, seated on the right"]
tt0000026	4	nm2354154	actor	\N	["Man playing cards, seated in the middle"]
tt0000036	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000063	1	nm0617588	actor	\N	["Georges Méliès"]
tt0000064	1	nm0617588	actor	\N	["Lightening Sketch Artist"]
tt0000065	1	nm0617588	actor	\N	["Lightening Sketch Artist"]
tt0000066	1	nm0617588	actor	\N	["Lightening Sketch Artist"]
tt0000070	1	nm0525908	actor	\N	\N
tt0000075	2	nm0617588	actor	\N	["Magician"]
tt0000076	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000091	2	nm6170115	actor	\N	["Mephistopheles"]
tt0000091	3	nm0617588	actor	\N	["Mephistopheles"]
tt0000108	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000109	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000110	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000111	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000112	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000113	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000121	1	nm0832461	actor	\N	["The Soldier"]
tt0000131	1	nm0617588	actor	\N	["L'homme qui essaie de dormir"]
tt0000132	2	nm0577734	actor	\N	["Un joueur de cartes"]
tt0000132	3	nm0617588	actor	\N	["Un joueur de cartes"]
tt0000138	1	nm0617588	actor	\N	["Inn Guest"]
tt0000142	1	nm0168621	actor	\N	\N
tt0000152	1	nm0617588	actor	\N	\N
tt0000165	1	nm0024876	actor	\N	\N
tt0000165	2	nm0278321	actor	\N	\N
tt0000165	3	nm0005717	actor	\N	\N
tt0000165	4	nm0556371	actor	\N	\N
tt0000165	6	nm0563758	actor	\N	\N
tt0000172	2	nm0338379	actor	\N	["Professor"]
tt0000174	1	nm0841389	actor	\N	["Sausage Vendor"]
tt0000174	2	nm1024447	actor	\N	["Sticker"]
tt0000177	1	nm0085865	actor	\N	["The Burglar"]
tt0000190	1	nm0841389	actor	\N	["Old Philanderer"]
tt0000190	2	nm1024447	actor	\N	["Man with Broom"]
tt0000210	1	nm0617588	actor	\N	\N
tt0000211	2	nm0617588	actor	\N	["L'astronome"]
tt0000214	1	nm0085865	actor	\N	["Hand that tears down the Spanish flag"]
tt0000215	1	nm0841389	actor	\N	\N
tt0000218	1	nm0617588	actor	\N	["Fernand Labori"]
tt0000230	3	nm1778224	actor	\N	["Prince Charming"]
tt0000230	7	nm1778292	actor	\N	["Party Guest"]
tt0000234	2	nm0617588	actor	\N	["Tomb Digger"]
tt0000235	2	nm0617588	actor	\N	["The Devil"]
tt0000242	1	nm0617588	actor	\N	["The Devil"]
tt0000246	1	nm0617588	actor	\N	["Magician"]
tt0000247	1	nm0002504	actor	\N	["King John"]
tt0000247	2	nm0784327	actor	\N	["Prince Henry"]
tt0000247	3	nm2259742	actor	\N	["Arthur"]
tt0000247	4	nm0924893	actor	\N	["Earl of Pembroke"]
tt0000248	2	nm0808310	actor	\N	["Husband"]
tt0000261	1	nm0617588	actor	\N	["The Sleeping Man"]
tt0000264	1	nm0617588	actor	\N	["L'illusioniste"]
tt0000265	1	nm0335788	actor	\N	["Chimmie Hicks"]
tt0000273	1	nm1040375	actor	\N	["The Officer"]
tt0000273	2	nm1894886	actor	\N	["The Missionary"]
tt0000279	1	nm0168621	actor	\N	\N
tt0000280	1	nm0168621	actor	\N	\N
tt0000281	1	nm0168621	actor	\N	\N
tt0000300	1	nm0085865	actor	\N	["Chalk-Talk Artist"]
tt0000304	1	nm2940072	actor	\N	["Willy - the little grandson"]
tt0000306	2	nm0536252	actor	\N	["Laertes"]
tt0000307	1	nm0085865	actor	\N	["Happy Hooligan"]
tt0000308	2	nm2940072	actor	\N	["Little brother"]
tt0000309	2	nm0378408	actor	\N	["Driver"]
tt0000310	1	nm0335788	actor	\N	["Chimmie Hicks"]
tt0000313	2	nm0338379	actor	\N	["Man"]
tt0000318	1	nm13155558	actor	\N	\N
tt0000318	2	nm0804433	actor	\N	["Koechin"]
tt0000319	1	nm1272063	actor	\N	\N
tt0000319	2	nm1272675	actor	\N	\N
tt0000335	2	nm1012612	actor	\N	\N
tt0000335	3	nm1011210	actor	\N	\N
tt0000335	4	nm1012621	actor	\N	\N
tt0000335	7	nm0675239	actor	\N	["Lion"]
tt0000335	8	nm0675260	actor	\N	["Lion"]
tt0000340	1	nm0542567	actor	\N	["Uncle Josh"]
tt0000341	1	nm0542567	actor	\N	["Uncle Josh"]
tt0000347	1	nm0168621	actor	\N	\N
tt0000358	1	nm0509806	actor	\N	\N
tt0000358	2	nm1778194	actor	\N	\N
tt0000358	3	nm0954087	actor	\N	\N
